k rho bilex par10 witt sm
23 0.1 0.971 0.972 1.000 0.987
23 0.2 0.961 0.961 1.000 0.992
23 0.3 0.947 0.944 1.000 0.994
23 0.4 0.943 0.935 1.000 0.995
23 0.5 0.927 0.925 1.000 0.995
23 0.6 0.940 0.937 1.000 0.993
23 0.7 0.933 0.927 1.000 0.987
23 0.8 0.928 0.926 1.000 0.980
23 0.9 0.925 0.922 1.000 0.977
23 1.0 0.921 0.918 1.000 0.956
24 0.0 0.989 0.992 1.000 0.991
24 0.1 0.975 0.977 1.000 0.988
24 0.2 0.963 0.965 1.000 0.993
24 0.3 0.955 0.956 1.000 0.997
24 0.4 0.950 0.948 1.000 0.997
24 0.5 0.941 0.941 1.000 0.997
24 0.6 0.928 0.929 1.000 0.996
24 0.7 0.931 0.926 1.000 0.990
24 0.8 0.926 0.924 1.000 0.985
24 0.9 0.928 0.923 1.000 0.978
24 1.0 0.927 0.923 1.000 0.963
25 0.0 0.992 0.994 1.000 0.993
25 0.1 0.978 0.978 1.000 0.989
25 0.2 0.967 0.964 1.000 0.993
25 0.3 0.956 0.955 1.000 0.997
25 0.4 0.949 0.944 1.000 0.997
25 0.5 0.942 0.942 1.000 0.997
25 0.6 0.933 0.931 1.000 0.995
25 0.7 0.928 0.924 1.000 0.992
25 0.8 0.932 0.927 1.000 0.987
25 0.9 0.922 0.919 1.000 0.982
25 1.0 0.923 0.924 1.000 0.970
