k rho bilex par10 witt sm
23 0.1 0.519 0.507 0.999 0.814
23 0.2 0.525 0.516 0.999 0.521
23 0.3 0.557 0.553 0.999 0.542
23 0.4 0.555 0.550 0.999 0.666
23 0.5 0.577 0.591 0.999 0.777
23 0.6 0.579 0.600 0.999 0.765
23 0.7 0.621 0.645 0.999 0.734
23 0.8 0.623 0.648 0.999 0.710
23 0.9 0.667 0.703 0.999 0.677
23 1.0 0.714 0.745 0.999 0.628
24 0.0 0.504 0.500 0.999 0.999
24 0.1 0.521 0.504 0.999 0.813
24 0.2 0.523 0.517 0.999 0.518
24 0.3 0.533 0.526 0.999 0.563
24 0.4 0.537 0.539 0.999 0.719
24 0.5 0.546 0.568 0.999 0.754
24 0.6 0.569 0.611 0.999 0.802
24 0.7 0.614 0.638 0.999 0.729
24 0.8 0.597 0.645 0.999 0.729
24 0.9 0.683 0.695 0.999 0.718
24 1.0 0.696 0.725 0.999 0.646
25 0.0 0.503 0.501 0.999 0.999
25 0.1 0.503 0.499 0.999 0.809
25 0.2 0.522 0.503 0.999 0.503
25 0.3 0.523 0.513 0.999 0.590
25 0.4 0.539 0.543 0.999 0.736
25 0.5 0.553 0.565 0.999 0.777
25 0.6 0.588 0.599 0.999 0.821
25 0.7 0.609 0.645 0.999 0.792
25 0.8 0.614 0.651 0.999 0.763
25 0.9 0.648 0.709 0.999 0.671
25 1.0 0.686 0.717 0.999 0.658
