10 0.916 0.915 1.000 1.000
11 0.915 0.914 1.000 1.000
12 0.916 0.916 1.000 1.000
13 0.919 0.919 1.000 1.000
14 0.915 0.915 1.000 1.000
15 0.917 0.913 1.000 1.000
16 0.920 0.919 1.000 1.000
17 0.920 0.920 1.000 1.000
18 0.920 0.916 1.000 1.000
19 0.918 0.918 1.000 1.000
20 0.921 0.920 1.000 1.000
21 0.924 0.918 1.000 1.000
22 0.927 0.925 1.000 1.000
23 0.922 0.922 1.000 1.000
24 0.925 0.920 1.000 1.000
25 0.924 0.923 1.000 1.000
26 0.932 0.928 1.000 1.000
27 0.934 0.928 1.000 1.000
28 0.937 0.932 1.000 1.000
29 0.929 0.927 1.000 1.000
30 0.934 0.931 1.000 1.000
31 0.936 0.931 1.000 1.000
32 0.937 0.936 1.000 1.000
33 0.942 0.937 1.000 1.000
34 0.941 0.935 1.000 1.000
35 0.938 0.937 1.000 1.000
36 0.947 0.941 1.000 1.000
37 0.948 0.945 1.000 1.000
38 0.945 0.941 1.000 1.000
39 0.947 0.942 1.000 1.000
40 0.948 0.945 1.000 1.000
41 0.950 0.945 1.000 1.000
42 0.949 0.944 1.000 1.000
43 0.955 0.949 1.000 1.000
44 0.955 0.952 1.000 1.000
45 0.957 0.950 1.000 1.000
46 0.957 0.949 1.000 1.000
47 0.956 0.952 1.000 1.000
48 0.955 0.946 1.000 1.000
49 0.963 0.956 1.000 1.000
50 0.967 0.959 1.000 1.000
