10 0.809 0.806 0.999 0.999
11 0.809 0.835 0.999 0.999
12 0.777 0.795 0.999 0.999
13 0.788 0.797 0.999 0.999
14 0.763 0.792 0.999 0.999
15 0.734 0.780 0.999 0.999
16 0.774 0.777 0.999 0.999
17 0.729 0.776 0.999 0.999
18 0.696 0.719 0.999 0.999
19 0.694 0.719 0.999 0.999
20 0.664 0.684 0.999 0.999
21 0.673 0.712 0.999 0.999
22 0.696 0.701 0.999 0.999
23 0.666 0.699 0.999 0.999
24 0.648 0.668 0.999 0.999
25 0.641 0.680 0.999 0.999
26 0.631 0.659 0.999 0.999
27 0.614 0.638 0.999 0.999
28 0.598 0.622 0.999 0.999
29 0.601 0.630 0.999 0.999
30 0.588 0.632 0.999 0.999
31 0.592 0.617 0.999 0.999
32 0.586 0.613 0.999 0.999
33 0.552 0.586 0.999 0.999
34 0.563 0.603 0.999 0.999
35 0.551 0.582 0.999 0.999
36 0.546 0.580 0.999 0.999
37 0.572 0.604 0.999 0.999
38 0.542 0.570 0.999 0.999
39 0.537 0.559 0.999 0.999
40 0.537 0.562 0.999 0.999
41 0.522 0.568 0.999 0.999
42 0.533 0.557 0.999 0.999
43 0.521 0.554 0.999 0.999
44 0.516 0.543 0.999 0.999
45 0.510 0.536 0.999 0.999
46 0.506 0.528 0.999 0.999
47 0.505 0.528 0.999 0.999
48 0.505 0.521 0.999 0.999
49 0.502 0.519 0.999 0.999
50 0.501 0.521 0.999 0.999
