1 58   # homem
2 42   # mulher
3 0
4 8    # 18-24
5 59   # 25-34
6 23   # 35-49
7 7    # 50-64
8 1    # 65+
9 0
10 1   # <1
11 7   # 1-2
12 20  # 2-3
13 23  # 3-8
14 30  # 8-16
15 19  # 16+
16 0
17 56  # single
18 39  # married
19 3   # divorced
20 1   # stable union
21 1   # others
22 0
23 1   # fund. incompleto
24 2   # medio incompleto
25 14  # superior incompleto
26 26  # superior completo
27 17  # pos incompleto
28 40  # pos completo
