size,degree,seed,points,time
25,10,1,18,314
25,10,10,15,513
25,10,2,10,213
25,10,3,8,83
25,10,4,17,470
25,10,5,16,275
25,10,6,11,264
25,10,7,11,175
25,10,8,8,158
25,10,9,13,253
25,3,1,5,6
25,3,10,12,33
25,3,2,8,10
25,3,3,9,16
25,3,4,10,13
25,3,5,8,16
25,3,6,12,30
25,3,7,9,22
25,3,8,9,12
25,3,9,13,59
25,5,1,14,28
25,5,10,14,140
25,5,2,11,174
25,5,3,15,243
25,5,4,12,72
25,5,5,15,182
25,5,6,10,26
25,5,7,10,30
25,5,8,12,118
25,5,9,13,137
50,10,1,17,56001
50,10,10,15,12964
50,10,2,23,107302
50,10,3,22,201842
50,10,4,19,120784
50,10,5,17,134628
50,10,6,21,142217
50,10,7,25,23974
50,10,8,20,53273
50,10,9,18,51351
50,3,1,15,2480
50,3,10,18,7861
50,3,2,12,3346
50,3,3,17,5667
50,3,4,23,12718
50,3,5,17,6915
50,3,6,17,3683
50,3,7,16,3157
50,3,8,14,2451
50,3,9,16,2339
50,5,1,16,73770
50,5,10,10,11817
50,5,2,16,30294
50,5,3,18,23964
50,5,4,23,38323
50,5,5,17,45552
50,5,6,18,84937
50,5,7,15,6443
50,5,8,19,32783
50,5,9,16,53682
