dataset,benchmark,inputs,outputs,size,depth,has-simd,threads,computers,bitset-size,has-cache,has-gray-code,has-sort,has-watch,max-memory,sum-memory,same-found,done,complete,time,energy,ids
MCNC,exep,30,63,905,24,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,50
MCNC,exep,30,63,905,24,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,51
MCNC,frg1,28,3,158,19,0,1,1,0,0,0,0,0,2051825664,2051825664,0,1,1,18.007428847,123.88287980905704,52
MCNC,frg1,28,3,158,19,1,1,1,0,0,0,0,0,2051637248,2051637248,0,1,1,2.022585145,123.88287980905704,53
MCNC,i1,25,16,82,11,0,1,1,0,0,0,0,0,180756480,180756480,0,1,1,0.698589599,36.149401274972654,54
MCNC,i1,25,16,82,11,1,1,1,0,0,0,0,0,180854784,180854784,0,1,1,0.089161307,36.149401274972654,55
MCNC,in3,35,29,640,24,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,56
MCNC,in3,35,29,640,24,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,57
MCNC,in4,32,20,599,28,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,58
MCNC,in4,32,20,599,28,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,59
MCNC,in5,24,14,501,19,0,1,1,0,0,0,0,0,233504768,233504768,0,1,1,3.9006932229999998,450.4685588288142,60
MCNC,in5,24,14,501,19,1,1,1,0,0,0,0,0,233398272,233398272,0,1,1,0.276265303,450.4685588288142,61
MCNC,in6,33,23,435,19,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,62
MCNC,in6,33,23,435,19,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,63
MCNC,in7,26,10,204,19,0,1,1,0,0,0,0,0,550146048,550146048,0,1,1,5.717066968,162.67284307024366,64
MCNC,in7,26,10,204,19,1,1,1,0,0,0,0,0,550039552,550039552,0,1,1,0.507736357,162.67284307024366,65
MCNC,jbp,36,57,640,16,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,66
MCNC,jbp,36,57,640,16,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,67
MCNC,lal,26,19,157,8,0,1,1,0,0,0,0,0,541761536,541761536,0,1,1,3.8214424489999996,106.50808440023495,68
MCNC,lal,26,19,157,8,1,1,1,0,0,0,0,0,541777920,541777920,0,1,1,0.364667769,106.50808440023495,69
MCNC,mainpla,27,54,5433,38,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,70
MCNC,mainpla,27,54,5433,38,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,71
MCNC,mark1,20,31,520,32,0,1,1,0,0,0,0,0,15872000,15872000,0,1,1,0.24780823800000001,455.8384475578987,72
MCNC,mark1,20,31,520,32,1,1,1,0,0,0,0,0,15937536,15937536,0,1,1,0.016768176,455.8384475578987,73
MCNC,misex2,25,18,163,11,0,1,1,0,0,0,0,0,252329984,252329984,0,1,1,2.090223023,126.79042966490502,74
