dataset,benchmark,inputs,outputs,size,depth,has-simd,threads,computers,bitset-size,has-cache,has-gray-code,has-sort,has-watch,max-memory,sum-memory,same-found,done,complete,time,energy,ids
MCNC,C6288,32,32,2402,120,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,47
MCNC,cc,21,20,107,4,1,1,1,0,0,0,0,0,16588800,16588800,0,1,1,0.00718022,57.7277952544946,51
MCNC,cc,21,20,107,4,1,2,1,0,0,0,0,0,16465920,16465920,0,1,1,0.006005157,57.7277952544946,52
MCNC,cc,21,20,107,4,1,4,1,0,0,0,0,0,16195584,16195584,0,1,1,0.00477002,57.7277952544946,53
MCNC,chkn,29,7,468,29,1,1,1,0,0,0,0,0,8326791168,8326791168,0,1,1,12.270365534,423.6970959212151,54
MCNC,chkn,29,7,468,29,1,2,1,0,0,0,0,0,8326799360,8326799360,0,1,1,7.581075781,423.6970959212151,55
MCNC,chkn,29,7,468,29,1,4,1,0,0,0,0,0,8326180864,8326180864,0,1,1,6.143858452,423.6970959212151,56
MCNC,cm150a,21,1,84,13,1,1,1,0,0,0,0,0,15323136,15323136,0,1,1,0.007068479,60.953039964779336,57
MCNC,cm150a,21,1,84,13,1,2,1,0,0,0,0,0,15085568,15085568,0,1,1,0.004755334,60.953039964779336,58
MCNC,cm150a,21,1,84,13,1,4,1,0,0,0,0,0,15253504,15253504,0,1,1,0.004552277,60.953039964779336,59
MCNC,comp,32,3,146,18,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,60
MCNC,comp,32,3,146,18,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,61
MCNC,comp,32,3,146,18,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,62
MCNC,cordic,23,2,109,13,1,1,1,0,0,0,0,0,59342848,59342848,0,1,1,0.0364357,79.70643485513843,63
MCNC,cordic,23,2,109,13,1,2,1,0,0,0,0,0,59154432,59154432,0,1,1,0.024514374000000002,79.70643485513843,64
MCNC,cordic,23,2,109,13,1,4,1,0,0,0,0,0,59146240,59146240,0,1,1,0.019191646,79.70643485513843,65
MCNC,count,35,16,179,20,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,66
MCNC,count,35,16,179,20,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,67
MCNC,count,35,16,179,20,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,68
MCNC,cps,24,109,2070,31,1,1,1,0,0,0,0,0,762613760,762613760,0,1,1,1.0262904290000001,1883.5914987066144,69
MCNC,cps,24,109,2070,31,1,2,1,0,0,0,0,0,762413056,762413056,0,1,1,0.8022117950000001,1883.5914987066144,70
MCNC,cps,24,109,2070,31,1,4,1,0,0,0,0,0,761892864,761892864,0,1,1,0.729769906,1883.5914987066144,71
MCNC,duke2,22,29,746,21,1,1,1,0,0,0,0,0,100876288,100876288,0,1,1,0.09981328299999999,679.6754882957003,72
MCNC,duke2,22,29,746,21,1,2,1,0,0,0,0,0,100888576,100888576,0,1,1,0.07741803400000001,679.6754882957003,73
MCNC,duke2,22,29,746,21,1,4,1,0,0,0,0,0,100728832,100728832,0,1,1,0.062492134,679.6754882957003,74
MCNC,exep,30,63,905,24,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,75
MCNC,exep,30,63,905,24,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,76
MCNC,exep,30,63,905,24,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,77
MCNC,frg1,28,3,158,19,1,1,1,0,0,0,0,0,2051637248,2051637248,0,1,1,2.005102589,123.88287980905704,78
MCNC,frg1,28,3,158,19,1,2,1,0,0,0,0,0,2051637248,2051637248,0,1,1,1.227899561,123.88287980905704,79
MCNC,frg1,28,3,158,19,1,4,1,0,0,0,0,0,2051395584,2051395584,0,1,1,1.0049100949999998,123.88287980905704,80
MCNC,i1,25,16,82,11,1,1,1,0,0,0,0,0,180785152,180785152,0,1,1,0.084877755,36.149401274972654,81
MCNC,i1,25,16,82,11,1,2,1,0,0,0,0,0,180772864,180772864,0,1,1,0.055854414,36.149401274972654,82
MCNC,i1,25,16,82,11,1,4,1,0,0,0,0,0,180613120,180613120,0,1,1,0.046233508,36.149401274972654,83
MCNC,in3,35,29,640,24,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,84
MCNC,in3,35,29,640,24,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,85
MCNC,in3,35,29,640,24,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,86
MCNC,in4,32,20,599,28,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,87
MCNC,in4,32,20,599,28,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,88
MCNC,in4,32,20,599,28,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,89
MCNC,in5,24,14,501,19,1,1,1,0,0,0,0,0,233431040,233431040,0,1,1,0.279705141,450.4685588288142,90
MCNC,in5,24,14,501,19,1,2,1,0,0,0,0,0,233467904,233467904,0,1,1,0.218054899,450.4685588288142,91
MCNC,in5,24,14,501,19,1,4,1,0,0,0,0,0,232988672,232988672,0,1,1,0.187598984,450.4685588288142,92
MCNC,in6,33,23,435,19,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,93
MCNC,in6,33,23,435,19,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,94
MCNC,in6,33,23,435,19,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,95
MCNC,in7,26,10,204,19,1,1,1,0,0,0,0,0,549982208,549982208,0,1,1,0.504249374,162.67284307024366,96
MCNC,in7,26,10,204,19,1,2,1,0,0,0,0,0,550133760,550133760,0,1,1,0.372666695,162.67284307024366,97
MCNC,in7,26,10,204,19,1,4,1,0,0,0,0,0,549662720,549662720,0,1,1,0.322888564,162.67284307024366,98
MCNC,jbp,36,57,640,16,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,99
MCNC,jbp,36,57,640,16,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,100
MCNC,jbp,36,57,640,16,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,101
MCNC,lal,26,19,157,8,1,1,1,0,0,0,0,0,541691904,541691904,0,1,1,0.365743232,106.50808440023495,102
MCNC,lal,26,19,157,8,1,2,1,0,0,0,0,0,541511680,541511680,0,1,1,0.256030502,106.50808440023495,103
MCNC,lal,26,19,157,8,1,4,1,0,0,0,0,0,541196288,541196288,0,1,1,0.225427836,106.50808440023495,104
MCNC,mainpla,27,54,5433,38,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,105
MCNC,mainpla,27,54,5433,38,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,106
MCNC,mainpla,27,54,5433,38,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,107
MCNC,mark1,20,31,520,32,1,1,1,0,0,0,0,0,15745024,15745024,0,1,1,0.015558533999999999,455.8384475578987,108
MCNC,mark1,20,31,520,32,1,2,1,0,0,0,0,0,15753216,15753216,0,1,1,0.011595325,455.8384475578987,109
MCNC,mark1,20,31,520,32,1,4,1,0,0,0,0,0,15712256,15712256,0,1,1,0.008966804,455.8384475578987,110
MCNC,misex2,25,18,163,11,1,1,1,0,0,0,0,0,252272640,252272640,0,1,1,0.187006545,126.79042966490502,111
MCNC,misex2,25,18,163,11,1,2,1,0,0,0,0,0,251834368,251834368,0,1,1,0.135160001,126.79042966490502,112
MCNC,misex2,25,18,163,11,1,4,1,0,0,0,0,0,251777024,251777024,0,1,1,0.114865965,126.79042966490502,113
MCNC,misj,35,14,93,6,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,114
MCNC,misj,35,14,93,6,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,115
MCNC,misj,35,14,93,6,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,116
MCNC,mux,21,1,109,13,1,1,1,0,0,0,0,0,16404480,16404480,0,1,1,0.010114287,85.84309514752947,117
