2	0.47773
3	0.41116
4	0.86306
5	0.40838
6	0.73783
7	0.96086
8	0.60785
9	0.26441
10	0.44005
11	0.94423
12	0.69794
13	0.57998
14	0.32775
15	0.91967
16	0.86865
17	0.4659
18	0.28911
19	0.38604
20	0.22172
21	0.17054
22	0.31134
23	0.96251
24	0.1571
25	0.25498
26	0.57786
27	0.38245
28	0.92157
29	0.82244
30	0.65956
31	0.42855
32	0.33781
33	0.15733
34	0.60624
35	0.23122
36	0.78115
37	0.50815
38	0.435
39	0.50945
40	0.14614
41	0.31392
42	0.20789
43	0.50571
44	0.66713
45	0.35783
46	0.82661
47	0.46702
48	0.65432
49	0.67786
50	0.43544
